,Row,Col,Sym,Diag
0,"(0.13988563162950263, 0.1375492157149517)","(0.10898107431664039, 0.10842878876828488)","(0.1376169297256271, 0.13544391292986102)","(0.11542125112715085, 0.10792922081765931)"
1,"(0.12407042347097186, 0.12242478838432758)","(0.10787931972079479, 0.1073991001088278)","(0.12110250197847383, 0.11894101690786862)","(0.12256526537661705, 0.12185222616218512)"
2,"(0.1036546009609206, 0.10297824864278204)","(0.10649377895406664, 0.10607071473777241)","(0.10315782425953257, 0.1015784023125903)","(0.09263682682144436, 0.09214576043614911)"
3,"(0.14050980031971771, 0.13827377326737622)","(0.1117504254037518, 0.1115149208122802)","(0.13884783600704687, 0.13631405092118254)","(0.14257737565563655, 0.14209348989114712)"
4,"(0.17014255002160739, 0.1644473066213643)","(0.18125691390998366, 0.18012562671336707)","(0.17014255002160739, 0.1593819020099534)","(0.1293860804529805, 0.12545266508250874)"
5,"(0.1503210123360207, 0.14745859309260834)","(0.12726766627247266, 0.1268334401441541)","(0.14582881808500603, 0.14334077072649376)","(0.10445938144412115, 0.10398470528050735)"
6,"(0.1358770187786249, 0.13285649449116044)","(0.08354041769979104, 0.08146623582282486)","(0.13403455672664333, 0.13070443083785233)","(0.1309473512900936, 0.12951140959655996)"
7,"(0.14860583352991052, 0.14680929704054113)","(0.11471695189399045, 0.1140803158720548)","(0.14577832832217585, 0.1443106772630527)","(0.14743298626124712, 0.14688256473027275)"
8,"(0.13512352610330092, 0.12245062025268216)","(0.14431381754592243, 0.14396723621886365)","(0.13512352610330092, 0.12102501726998904)","(0.10729897279056555, 0.10660074857243686)"
9,"(0.12450614486001477, 0.12246929409896934)","(0.09374725023958386, 0.09344997430232438)","(0.12396473768618577, 0.12178472262635887)","(0.12481829542739853, 0.12424543670202401)"
10,"(0.121449892160155, 0.12105521756798543)","(0.10907072179070743, 0.10852653889341313)","(0.11695274712664716, 0.11651276619817164)","(0.11849979821398837, 0.11800268440718845)"
11,"(0.12604581590421504, 0.11839590846337045)","(0.11176915371493779, 0.11040521732204933)","(0.11930400699211752, 0.11356823141353867)","(0.12176923090983693, 0.11951707433277035)"
12,"(0.12952227658874815, 0.1287873794340164)","(0.12862646602813688, 0.12847185483639212)","(0.1285339368980134, 0.12732631176211062)","(0.11169789430991561, 0.11115966671130427)"
13,"(0.14021226808861742, 0.13953087602688852)","(0.11229691240181072, 0.11176624893035669)","(0.13450395909299262, 0.13311474195853068)","(0.13689444346459456, 0.13660601745398485)"
14,"(0.11613551545733958, 0.11449110611280333)","(0.10923722628347932, 0.10906330391510244)","(0.11522844788512232, 0.11379289646626356)","(0.11580376843047313, 0.11544349788515275)"
15,"(0.11923319602807458, 0.11456387677333357)","(0.10402484237246112, 0.103709617834299)","(0.1167919947601318, 0.1122189221465949)","(0.11788430156530072, 0.11580407930711045)"
16,"(0.13493582466224463, 0.13326205113781708)","(0.11766811726047544, 0.11716554470749352)","(0.12812904709491657, 0.12638857433299366)","(0.13492447276176467, 0.13407927504224101)"
17,"(0.1515532867728715, 0.14596070921739845)","(0.1541887223558468, 0.1538727115221441)","(0.15085129904283412, 0.14358054582162305)","(0.11185435589478487, 0.11151426704437421)"
18,"(0.10344631025323558, 0.1027361535544783)","(0.1073432225056048, 0.10656350444457385)","(0.10196213100035578, 0.1006462806240741)","(0.10348800271570124, 0.10300415297802144)"
19,"(0.13221163519136192, 0.13075791932738612)","(0.1446747993410631, 0.1442423253923989)","(0.13221163519136192, 0.1290648826973072)","(0.10307227999699509, 0.10283715971455272)"
20,"(0.11133300045406758, 0.10981566638622642)","(0.11339733467564683, 0.11317773062843473)","(0.11046074812537254, 0.10911680541265179)","(0.09709414409985506, 0.09661371775719156)"
21,"(0.13001284670908753, 0.12149337954287232)","(0.09934857340704639, 0.09844661115443254)","(0.12653576478852446, 0.1196640593483187)","(0.13063717070794734, 0.12455298264460195)"
22,"(0.14314498356777539, 0.14080838719829392)","(0.08845452938175191, 0.08792636296423917)","(0.14087063015832957, 0.1383780678526625)","(0.12772876214051676, 0.1275397877300864)"
23,"(0.13917743949315964, 0.1382519327620072)","(0.10882515924567637, 0.10858467099152591)","(0.13758565884946528, 0.1356309835384497)","(0.13896724856694354, 0.1381288481386841)"
24,"(0.10612608767466314, 0.10476856435060666)","(0.07828047426559515, 0.0781355063450897)","(0.10306164373222337, 0.10174316889723867)","(0.10412291651012684, 0.10336756524550603)"
25,"(0.1445659440890087, 0.143391095807345)","(0.12024864821484471, 0.12006226976367085)","(0.1412107788831216, 0.13968503782032915)","(0.130992071580192, 0.1279150241853855)"
26,"(0.14984108609528957, 0.14739529623409875)","(0.14374542072988095, 0.1433080902581586)","(0.1443595431413256, 0.1421309597687166)","(0.14637624775197589, 0.1456088986503887)"
27,"(0.11341840176297002, 0.11245216627719046)","(0.10519177808274849, 0.10494339890752569)","(0.11217925706431597, 0.11084404317557517)","(0.10862386477408559, 0.10650929045527659)"
28,"(0.12511420166194298, 0.12455352415904897)","(0.08957607954664737, 0.0892978023906782)","(0.12301643948719931, 0.12245628218064519)","(0.11384078101071804, 0.10989237300262435)"
29,"(0.1366232723572398, 0.13635646984557914)","(0.10797317705862286, 0.10781098067003803)","(0.13573663663959656, 0.13500015669915977)","(0.1381493565337738, 0.13749379205544324)"
30,"(0.11451067368167134, 0.11240874065865003)","(0.12053895382378066, 0.12026596249786381)","(0.11451067368167134, 0.10945663490221347)","(0.1111540994997422, 0.11044048732271061)"
31,"(0.12375154072839956, 0.1225066991759961)","(0.11290670408893833, 0.1127180882036678)","(0.11985083425802645, 0.11793298780415995)","(0.10840755417041836, 0.10751508766719375)"
32,"(0.12081977291497292, 0.12004566137146311)","(0.12827886248128384, 0.12809656924276436)","(0.12021216351899422, 0.11727627770061111)","(0.10524054215894185, 0.10508757734651587)"
33,"(0.1391581743924568, 0.13761448067917226)","(0.1165669195872635, 0.11629685103297094)","(0.13425197533333544, 0.13259853570486635)","(0.13562666560810221, 0.13504028101020563)"
34,"(0.10623667007687698, 0.10441547494582881)","(0.07993611776960341, 0.07924481964284413)","(0.10274278553340388, 0.10077985276730617)","(0.0990446600351289, 0.09769517708117256)"
35,"(0.1435948981469647, 0.14294716258889084)","(0.13517859565214385, 0.13486424237885897)","(0.14011737535666702, 0.13919597381164905)","(0.12868504133561054, 0.1273231233863739)"
36,"(0.14895665245594614, 0.1463469071361163)","(0.1368653846935629, 0.13573789246925305)","(0.142453493516021, 0.13837523625881187)","(0.12268727674159252, 0.1218907065137428)"
37,"(0.12954868232506866, 0.1280583011670854)","(0.09243280553134148, 0.09215606552575173)","(0.12781457927946616, 0.12628078666950004)","(0.13001319129750033, 0.12959577932005434)"
38,"(0.12321693169900005, 0.12236045948292473)","(0.10323924452935307, 0.10244589231786971)","(0.12119548742097042, 0.12005083540370276)","(0.1231990916257033, 0.122964206695585)"
39,"(0.11727635694821159, 0.11571656623307647)","(0.11281865187549422, 0.11237710576521409)","(0.11314699751545587, 0.1113728391497395)","(0.11499283089963097, 0.11450488891600859)"
40,"(0.10926929882824499, 0.10753691538285426)","(0.11458943313413661, 0.11415421498365819)","(0.10926929882824499, 0.10356576783974225)","(0.10235289201342679, 0.10206027412830923)"
41,"(0.14955035306386566, 0.1481963594147917)","(0.09477433845042704, 0.09457443409065669)","(0.14515659859312646, 0.144006801085224)","(0.14816408272221615, 0.14782283483559167)"
42,"(0.1395393704072313, 0.13793694182048144)","(0.12144231387061444, 0.12065393519211154)","(0.1343107912797714, 0.13334192673156386)","(0.13508173222812414, 0.13481511142269412)"
43,"(0.10774449892637694, 0.10594583801837976)","(0.09620368221233289, 0.09538297789662387)","(0.10568187039974619, 0.10409272695478411)","(0.1112042162901975, 0.11050118058524518)"
44,"(0.14170507746665828, 0.13944413079416107)","(0.11601262951121905, 0.11545966934277607)","(0.13904839477681297, 0.13660216980960904)","(0.1116318704810042, 0.11127517301481085)"
45,"(0.11462722953158833, 0.1139928164296613)","(0.1134829753928438, 0.11291185245538748)","(0.11070462357760436, 0.11015306680245718)","(0.11300707556604295, 0.11211641404500414)"
46,"(0.1254658018633611, 0.12474805783530518)","(0.12715517962558776, 0.12697182903952553)","(0.12254625879250491, 0.12127358986205872)","(0.10472767728742816, 0.10411562468043599)"
47,"(0.12388252190445537, 0.12318241432942323)","(0.115156356391933, 0.11469642611236763)","(0.12215462271309785, 0.12128308546481692)","(0.11445575872692271, 0.11341501584448414)"
48,"(0.14357337108065749, 0.14160416596926317)","(0.12217480825816529, 0.12167144187080436)","(0.1426565867139976, 0.14040208269992194)","(0.1471249099252635, 0.14621030439668295)"
49,"(0.12332740267693731, 0.12245819966419069)","(0.09668539160229139, 0.09629481281333763)","(0.12262190093972603, 0.12159781508392253)","(0.12427565420978981, 0.1237413610476607)"
50,"(0.1103383602916772, 0.10958428662752928)","(0.1095154233968263, 0.10914388970962985)","(0.10935614069810295, 0.10854563925883498)","(0.11153801579898692, 0.1112386109968315)"
51,"(0.11715889943776014, 0.11564877953478869)","(0.09387516194241863, 0.09317657206823049)","(0.11480615359895885, 0.11342025714344928)","(0.11682754476064128, 0.11650534250968198)"
52,"(0.13730114739451393, 0.13589614422949103)","(0.12139014369736978, 0.12092215817152885)","(0.13522886952367763, 0.13382729779257163)","(0.13577230590653888, 0.13516447134733311)"
53,"(0.12913045331434447, 0.12715789006137868)","(0.09947274500071457, 0.09902855140761724)","(0.12711157956855257, 0.12505044602743742)","(0.1303566269941443, 0.12962338509262167)"
54,"(0.13197330073577718, 0.13095338827184855)","(0.10657893663923335, 0.10622721673470303)","(0.13043070211331043, 0.130065610780442)","(0.13423491989429737, 0.13381865827749534)"
55,"(0.10818733548172288, 0.10711369679266802)","(0.11386790817267545, 0.11329017533942787)","(0.10526513920714031, 0.09924839899812465)","(0.1021385689452391, 0.10064006717178633)"
56,"(0.1427294135433259, 0.14155509817176315)","(0.1344010673810977, 0.13411191926953292)","(0.1409868294956178, 0.1403118379676812)","(0.11948026335179651, 0.11764157422903242)"
57,"(0.14967739373880895, 0.14257249501282188)","(0.1398265752396276, 0.13928348901288923)","(0.14823739395493984, 0.13885095627891786)","(0.15251578754105943, 0.14989540017319555)"
58,"(0.1537993246487226, 0.14502758578559793)","(0.11429742929513165, 0.11410127886177313)","(0.1513217423512232, 0.14221153973707967)","(0.15287551326159188, 0.14927071751042817)"
59,"(0.09770350152342866, 0.09654654814903407)","(0.1018327937649709, 0.10102133778351008)","(0.09664711188908603, 0.09541660314085754)","(0.0959547053848222, 0.09569021592738604)"
60,"(0.14661847328345567, 0.14612581095373012)","(0.1504655722772874, 0.1500865097840285)","(0.1447674678893085, 0.1426583976083473)","(0.1197373360368783, 0.11597576697311754)"
61,"(0.13947557613274253, 0.1382984894976791)","(0.10357721376668538, 0.10333103796654841)","(0.1363220114017738, 0.13585390140745823)","(0.13929272610336263, 0.13877557915396452)"
62,"(0.18211718029146062, 0.17918488710823055)","(0.11324413375346898, 0.11225733037965147)","(0.1681680849466135, 0.1651257940272287)","(0.1509850695868693, 0.1502192272809449)"
63,"(0.13007554546400157, 0.12537425525176638)","(0.11906809702876187, 0.11895902392178281)","(0.12880651316886182, 0.12375416020434304)","(0.13146905622309824, 0.12986729720780119)"
64,"(0.13454913622759535, 0.13371838350861476)","(0.13195560273092977, 0.1316747981411064)","(0.13123277021634794, 0.1302570501392334)","(0.12966917097653996, 0.12941790232885264)"
65,"(0.13663602278848397, 0.13541994800825208)","(0.10896168551204266, 0.1085784518432199)","(0.13246732945664275, 0.13136670493962066)","(0.13068048176721336, 0.12728139282581835)"
66,"(0.12478578020584952, 0.12326990416902428)","(0.08758142231888044, 0.08748598057368229)","(0.12223866596128508, 0.12072293810920831)","(0.1122429737726196, 0.10533200624554472)"
67,"(0.11903544599297122, 0.11130110039951868)","(0.12387412327143166, 0.12381822847943758)","(0.11903544599297122, 0.10990057144673737)","(0.10471946372111518, 0.10452992887442734)"
68,"(0.14178284473886416, 0.13800960666361606)","(0.14862868908157023, 0.14817026054357862)","(0.14171077038836044, 0.13730443553688954)","(0.13901783350253238, 0.13754641102332177)"
69,"(0.12649283092892705, 0.12474751989466382)","(0.11199729753954712, 0.11182268579585042)","(0.12203580676217629, 0.12100707385588405)","(0.10748293360996197, 0.10698903257950086)"
70,"(0.1562881558847934, 0.15567572355237136)","(0.0934249501872223, 0.09281962956006184)","(0.15207462248896553, 0.1515841675283135)","(0.11131924044258146, 0.11114101240010377)"
71,"(0.13078944472679932, 0.12941871372318314)","(0.09501713140479273, 0.09456753562095066)","(0.12632097119594599, 0.12501484428081155)","(0.10965577208838961, 0.10889964469235382)"
72,"(0.1570754567451612, 0.15517978880506578)","(0.11096847198664583, 0.11056746680239848)","(0.15281085194133603, 0.15002663034322872)","(0.1510833553340466, 0.1480786647838463)"
73,"(0.13437192335975856, 0.1327150494480035)","(0.10458489366002122, 0.1045047448731865)","(0.13272749580793108, 0.13031672886636125)","(0.11236736200236996, 0.1075924630231733)"
74,"(0.15296717420269978, 0.14846166174066244)","(0.08491710928953589, 0.08456455791163475)","(0.15151763199630452, 0.14704416098805084)","(0.1574755862671705, 0.15453109589444372)"
75,"(0.11677441339563432, 0.11611435992300279)","(0.11796632124579687, 0.11780904571946982)","(0.11368804063341187, 0.11336239419041294)","(0.09161874691326244, 0.09114510127341827)"
76,"(0.18104216683737162, 0.1791043842470842)","(0.1102229857455983, 0.10986334759534377)","(0.17861680180612016, 0.17722093915442516)","(0.1816416138588678, 0.18151389909072854)"
77,"(0.14187769295750996, 0.14070529743580595)","(0.1149430564431062, 0.11471084598797365)","(0.1401426975486113, 0.138743779773281)","(0.1421012358959154, 0.1415854372562885)"
78,"(0.12345726978484617, 0.12243217034296194)","(0.08385187148988749, 0.08372212028095871)","(0.12140058349478411, 0.11979782630928981)","(0.12319680225103213, 0.12243898930860844)"
79,"(0.13251563651708353, 0.13181554329104472)","(0.10450423598379988, 0.10389814723982826)","(0.12704938262987941, 0.12597724019981216)","(0.1301022889720771, 0.12985759165624056)"
80,"(0.1400444854766858, 0.139582962833264)","(0.0994653537679262, 0.09910370474864827)","(0.13343166136265694, 0.13258104249873714)","(0.1375048641553288, 0.13706149219934807)"
81,"(0.13149718429798696, 0.12723175076153348)","(0.14549851563920335, 0.14442429555420033)","(0.13149718429798696, 0.12575543205945983)","(0.10943319962324949, 0.10796323319147949)"
82,"(0.1421427484213298, 0.14092489183093315)","(0.07746833836073364, 0.07683268159149659)","(0.1395513030551665, 0.13796347603857584)","(0.13167984672179323, 0.12940034152584026)"
83,"(0.127183250760865, 0.12650820164365473)","(0.11311830037498627, 0.11273329687784306)","(0.12369292356867445, 0.12324558796272733)","(0.10636192783674048, 0.10533588787061682)"
84,"(0.13046488517371135, 0.12879154307429808)","(0.09286024344612676, 0.09207034102755485)","(0.12939804102455355, 0.12724594844155823)","(0.13349863006839569, 0.13241540753779146)"
85,"(0.1311229437840491, 0.12941067017085128)","(0.11012090241822015, 0.1094821448231671)","(0.12443675530170328, 0.122249376086909)","(0.1265292072755434, 0.12567274751330534)"
86,"(0.14821511323976821, 0.14664249719788625)","(0.09593654511794769, 0.09580024117842467)","(0.1447634898785335, 0.14386356332480632)","(0.14592088616384125, 0.14554464625181998)"
87,"(0.1482494131268136, 0.14793315708051136)","(0.0908673266920802, 0.0901468389573038)","(0.1467066805924887, 0.14561938470810043)","(0.1481129460111965, 0.1479852216870697)"
88,"(0.14378962498456627, 0.1425688636159581)","(0.11641729807506795, 0.11606377074053909)","(0.1425875993867235, 0.14120641796122702)","(0.14421139348380219, 0.14372162349134862)"
89,"(0.11412705462688666, 0.11383684544530148)","(0.09139902468193639, 0.09119160095152501)","(0.11182433796273739, 0.11139171768646128)","(0.11369679207575323, 0.11361386562119737)"
90,"(0.13138946901286364, 0.13056694521262124)","(0.11783044854820757, 0.11769777462241193)","(0.12969538777812428, 0.12877912446132989)","(0.12816218909507116, 0.12772954667373343)"
91,"(0.15282827563014556, 0.13766953880930788)","(0.11515913086646701, 0.11474589239111355)","(0.14928282892581568, 0.13380169142993736)","(0.1565064583554472, 0.15088823543202545)"
92,"(0.13439667798054167, 0.13284403501220232)","(0.109920053056759, 0.10968778373990862)","(0.1324101935318459, 0.13131976558599345)","(0.1345849474937848, 0.13426535644951665)"
93,"(0.129964686261542, 0.12891560496945642)","(0.10379492468813356, 0.10349674016507482)","(0.12132003640720124, 0.12009513181753428)","(0.11236042566833793, 0.10959975719738166)"
94,"(0.1365421524756636, 0.13501286651661903)","(0.14130347456700043, 0.1408374828908282)","(0.13569261530012222, 0.13372543641808743)","(0.12951844614729036, 0.12814163249342175)"
95,"(0.15246340334937813, 0.1504512379777223)","(0.12497948152239002, 0.12475013862553175)","(0.14846467484514292, 0.14627896636620086)","(0.15465417906217604, 0.1540299200640598)"
96,"(0.1441321395397669, 0.14182380372951298)","(0.13011169863464422, 0.1297304867614648)","(0.13997958676326927, 0.13819807572624143)","(0.14182380372951298, 0.13921566436950772)"
97,"(0.1530140460535725, 0.14999804035367825)","(0.08911077939277623, 0.0889559422303533)","(0.15183988464336218, 0.1490812266000513)","(0.15267948513363527, 0.1520098374963829)"
98,"(0.10875136217182224, 0.10834084128129562)","(0.09932438761194395, 0.098771849672744)","(0.10507164583944506, 0.10385716434801717)","(0.10618475460689292, 0.0996989191162583)"
99,"(0.10656004971609823, 0.10482144318224729)","(0.09244432373507627, 0.09212618048356236)","(0.10510737210869714, 0.1035757337132861)","(0.09400986559314173, 0.09265300415668117)"
